{1 JetEta 0 None ScaleFactor}
-5.191 -3.139 3 1.0672 1.0219 1.1125
-3.139 -2.964 3 1.1599 1.1283 1.1914
-2.964 -2.853 3 1.1662 1.0654 1.2670
-2.853 -2.650 3 1.2011 1.0015 1.4007
-2.650 -2.500 3 1.1365 1.0693 1.2036
-2.500 -2.322 3 1.0471 0.9983 1.0959
-2.322 -2.043 3 1.0352 0.9875 1.0828
-2.043 -1.930 3 1.0670 1.0326 1.1013
-1.930 -1.740 3 1.0452 0.9914 1.0989
-1.740 -1.305 3 1.0761 1.0379 1.1143
-1.305 -1.131 3 1.0881 0.9948 1.1815
-1.131 -0.783 3 1.1000 1.0733 1.1268
-0.783 -0.522 3 1.1228 1.0911 1.1544
-0.522 -0.000 3 1.0993 1.0861 1.1125
0.000 0.522 3 1.0993 1.0861 1.1125
0.522 0.783 3 1.1228 1.0911 1.1544
0.783 1.131 3 1.1000 1.0733 1.1268
1.131 1.305 3 1.0881 0.9948 1.1815
1.305 1.740 3 1.0761 1.0379 1.1143
1.740 1.930 3 1.0452 0.9914 1.0989
1.930 2.043 3 1.0670 1.0326 1.1013
2.043 2.322 3 1.0352 0.9875 1.0828
2.322 2.500 3 1.0471 0.9983 1.0959
2.500 2.650 3 1.1365 1.0693 1.2036
2.650 2.853 3 1.2011 1.0015 1.4007
2.853 2.964 3 1.1662 1.0654 1.2670
2.964 3.139 3 1.1599 1.1283 1.1914
3.139 5.191 3 1.0672 1.0219 1.1125
